,setups,weeks,goes_again,stalls,reverses,base_goes,base_reverses,edge,edge_lo,edge_hi,edge_range_only,oc_mean_bps,oc_lo_bps,oc_hi_bps,oc_median_bps,oc_positive
All setups,905.0,128.0,0.1723756906077348,0.6674033149171271,0.16022099447513813,0.16702559787905727,0.1513812459729892,-0.003489655773471402,-0.02979962145898429,0.023434948904285657,0.004598448459127103,-17.191125840724435,-35.8328726312035,0.8458257938539215,-2.9991572896690375,0.49060773480662984
Up-moves,446.0,119.0,0.1681614349775785,0.6434977578475336,0.18834080717488788,0.15537899583196432,0.1605064464297767,-0.015051921599497012,-0.05192462197963905,0.020701472235605298,-0.023338211173499324,-34.93355750149473,-66.93389686809421,-5.298324865907711,-14.808621473507827,0.4618834080717489
Down-moves,459.0,115.0,0.17647058823529413,0.690631808278867,0.1328976034858388,0.17834233973745262,0.1425144934594222,0.007745138471424934,-0.0309441723980538,0.045931787954169766,0.03174387372307347,0.04879686233341571,-23.72099494199489,24.400765128825007,3.864552811415961,0.5185185185185185
Lean: Goes,177.0,85.0,0.3446327683615819,0.6271186440677966,0.02824858757062147,0.3265833535273309,0.03309584893277725,0.022896676196406805,-0.03329356973347687,0.07811600354082536,0.2509219490948687,-12.191271059319993,-44.545113560633496,17.64530509927779,-6.697391893241422,0.4745762711864407
Lean: Leans goes,254.0,97.0,0.1968503937007874,0.6968503937007874,0.1062992125984252,0.1897216645238552,0.11761211605632593,0.01844163263483291,-0.03469078284012558,0.07028917025399743,0.10245202323463197,-3.229654646627152,-37.12667177120862,29.280249887088548,4.877357142692102,0.5236220472440944
Lean: Leans stalls,378.0,119.0,0.09788359788359788,0.6772486772486772,0.22486772486772486,0.09961597284589799,0.20829067949196833,-0.01830942033805666,-0.05843524747733244,0.0223987928758022,-0.12523883933949495,-18.4246025241148,-44.701298942610315,7.401810212614809,-9.32181918508145,0.47619047619047616
Lean: Stalls,96.0,60.0,0.08333333333333333,0.625,0.2916666666666667,0.07821637480625636,0.23473654185607132,-0.05181316628351837,-0.13097318759041632,0.02588752892900773,-0.19723043505780388,-58.49251952080505,-115.02885984677039,-6.895708617274103,-20.944158702553576,0.4895833333333333
Year 2024,269.0,38.0,0.18587360594795538,0.6654275092936803,0.14869888475836432,0.16522342881107285,0.16302192634526222,0.03497321872378042,-0.012890095815843756,0.08130648680254196,0.058638828430013216,6.957481617612366,-17.32430442207001,29.646566143514924,3.5454279452906587,0.5204460966542751
Year 2025,393.0,53.0,0.15521628498727735,0.6743002544529262,0.17048346055979643,0.16241538465710895,0.1490868212358002,-0.028595738993827797,-0.06145046216848581,0.007287521155008562,-0.03568554549439862,-32.68912173199746,-57.6572789142454,-6.559352142068006,-30.777521680067096,0.4300254452926209
Year 2026,243.0,37.0,0.18518518518518517,0.6584362139917695,0.15637860082304528,0.17647661547376312,0.14220579700827243,-0.005464234103350722,-0.06262632802618832,0.05358749114762729,0.00992662710755198,-18.858874898429388,-66.30583488265015,27.38173658871687,18.371007985644553,0.5555555555555556
Without the 5 busiest weeks,805.0,123.0,0.1763975155279503,0.6658385093167701,0.1577639751552795,0.1684835269974384,0.15348820550398656,0.0036382188792189077,-0.023883664372012822,0.03197276998227487,0.014549055987509942,-13.053755229937831,-32.575319801863735,6.1981960365424476,-1.1246675467698788,0.4956521739130435
Ignitions that didn't consolidate,3418.0,128.0,0.1269748390871855,0.7226448215330603,0.15038033937975423,0.1542024191087147,0.16638461253574818,-0.011223306865535292,-0.025393812441143703,0.0022052759369996186,-0.015778808466867775,6.223500186346096,-5.146629069869648,17.909818930787925,0.6009714271353744,0.5011702750146284
