date,down,up,total
2016-04-07,1,1,2
2016-04-14,0,0,0
2016-04-21,2,1,3
2016-04-28,5,1,6
2016-05-05,3,3,6
2016-05-12,5,5,10
2016-05-19,0,2,2
2016-05-26,1,1,2
2016-06-02,1,3,4
2016-06-09,2,2,4
2016-06-16,3,1,4
2016-06-23,1,2,3
2016-06-30,1,3,4
2016-07-07,2,1,3
2016-07-14,2,2,4
2016-07-21,3,4,7
2016-07-28,4,4,8
2016-08-04,4,2,6
2016-08-11,4,9,13
2016-08-18,3,3,6
2016-08-25,1,3,4
2016-09-01,2,1,3
2016-09-08,2,2,4
2016-09-15,0,2,2
2016-09-22,0,2,2
2016-09-29,1,0,1
2016-10-06,1,2,3
2016-10-13,4,1,5
2016-10-20,3,2,5
2016-10-27,5,1,6
2016-11-03,4,5,9
2016-11-10,0,0,0
2016-11-17,2,6,8
2016-11-23,0,4,4
2016-12-01,0,0,0
2016-12-08,3,3,6
2016-12-15,1,2,3
2016-12-22,1,2,3
2016-12-29,1,0,1
2017-01-05,0,1,1
2017-01-12,1,2,3
2017-01-19,2,1,3
2017-01-26,0,1,1
2017-02-02,3,0,3
2017-02-09,8,7,15
2017-02-16,0,5,5
2017-02-23,2,5,7
2017-03-02,4,4,8
2017-03-09,3,0,3
2017-03-16,4,4,8
2017-03-23,3,2,5
2017-03-30,1,4,5
2017-04-06,2,1,3
2017-04-12,1,5,6
2017-04-20,6,0,6
2017-04-27,7,3,10
2017-05-04,6,5,11
2017-05-11,7,3,10
2017-05-18,1,4,5
2017-05-25,2,5,7
2017-06-01,1,1,2
2017-06-08,3,1,4
2017-06-15,3,0,3
2017-06-22,4,1,5
2017-06-29,0,3,3
2017-07-06,1,2,3
2017-07-13,2,1,3
2017-07-20,2,3,5
2017-07-27,1,1,2
2017-08-03,5,1,6
2017-08-10,0,3,3
2017-08-17,4,1,5
2017-08-24,3,3,6
2017-08-31,1,2,3
2017-09-07,1,2,3
2017-09-14,4,3,7
2017-09-21,5,0,5
2017-09-28,2,1,3
2017-10-05,2,3,5
2017-10-12,2,0,2
2017-10-19,6,3,9
2017-10-26,1,3,4
2017-11-02,8,4,12
2017-11-09,5,3,8
2017-11-16,1,2,3
2017-11-22,0,8,8
2017-11-30,0,0,0
2017-12-07,2,3,5
2017-12-14,2,0,2
2017-12-21,1,3,4
2017-12-28,1,0,1
2018-01-04,0,1,1
2018-01-11,2,2,4
2018-01-18,3,3,6
2018-01-25,3,1,4
2018-02-01,2,3,5
2018-02-08,5,2,7
2018-02-15,1,1,2
2018-02-22,0,1,1
2018-03-01,3,3,6
2018-03-08,0,2,2
2018-03-15,4,2,6
2018-03-22,1,1,2
2018-03-28,1,0,1
2018-04-05,1,0,1
2018-04-12,4,2,6
2018-04-19,2,1,3
2018-04-26,5,4,9
2018-05-03,2,2,4
2018-05-10,0,3,3
2018-05-17,0,2,2
2018-05-24,3,2,5
2018-05-31,1,1,2
2018-06-07,2,3,5
2018-06-14,3,4,7
2018-06-21,1,1,2
2018-06-28,1,3,4
2018-07-05,3,3,6
2018-07-12,1,0,1
2018-07-19,0,1,1
2018-07-26,4,2,6
2018-08-02,3,4,7
2018-08-09,4,2,6
2018-08-16,3,0,3
2018-08-23,4,1,5
2018-08-30,3,3,6
2018-09-06,1,2,3
2018-09-13,2,0,2
2018-09-20,3,2,5
2018-09-27,5,2,7
2018-10-04,2,1,3
2018-10-11,1,0,1
2018-10-18,0,1,1
2018-10-25,3,1,4
2018-11-01,2,5,7
2018-11-08,3,4,7
2018-11-15,3,1,4
2018-11-21,3,4,7
2018-11-29,1,1,2
2018-12-06,1,2,3
2018-12-13,1,0,1
2018-12-20,2,0,2
2018-12-27,2,2,4
2019-01-03,0,0,0
2019-01-10,2,0,2
2019-01-17,1,1,2
2019-01-24,1,4,5
2019-01-31,0,0,0
2019-02-07,2,6,8
2019-02-14,4,3,7
2019-02-21,4,3,7
2019-02-28,5,4,9
2019-03-07,5,4,9
2019-03-14,3,1,4
2019-03-21,1,1,2
2019-03-28,1,0,1
2019-04-04,1,1,2
2019-04-11,0,2,2
2019-04-17,2,0,2
2019-04-25,4,7,11
2019-05-02,5,4,9
2019-05-09,6,2,8
2019-05-16,0,1,1
2019-05-23,2,0,2
2019-05-30,1,3,4
2019-06-06,2,0,2
2019-06-13,2,1,3
2019-06-20,0,1,1
2019-06-27,2,1,3
2019-07-03,1,3,4
2019-07-11,1,0,1
2019-07-18,1,4,5
2019-07-25,1,5,6
2019-08-01,1,5,6
2019-08-08,6,2,8
2019-08-15,2,0,2
2019-08-22,1,3,4
2019-08-29,3,2,5
2019-09-05,2,2,4
2019-09-12,7,0,7
2019-09-19,1,1,2
2019-09-26,2,0,2
2019-10-03,0,1,1
2019-10-10,3,0,3
2019-10-17,2,0,2
2019-10-24,0,2,2
2019-10-31,2,9,11
2019-11-07,3,4,7
2019-11-14,0,3,3
2019-11-21,2,0,2
2019-11-27,1,1,2
2019-12-05,1,0,1
2019-12-12,2,0,2
2019-12-19,3,4,7
2019-12-26,4,4,8
2020-01-02,1,1,2
2020-01-09,1,1,2
2020-01-16,2,3,5
2020-01-23,5,5,10
2020-01-30,5,3,8
2020-02-06,2,2,4
2020-02-13,3,2,5
2020-02-20,2,2,4
2020-02-27,3,0,3
2020-03-05,3,1,4
2020-03-12,4,0,4
2020-03-19,1,4,5
2020-03-26,1,7,8
2020-04-02,1,0,1
2020-04-08,2,1,3
2020-04-16,0,0,0
2020-04-23,0,1,1
2020-04-30,0,3,3
2020-05-07,0,0,0
2020-05-14,0,1,1
2020-05-21,0,1,1
2020-05-28,2,1,3
2020-06-04,3,2,5
2020-06-11,2,0,2
2020-06-18,0,2,2
2020-06-25,0,3,3
2020-07-01,1,8,9
2020-07-09,0,1,1
2020-07-16,1,0,1
2020-07-23,1,2,3
2020-07-30,3,1,4
2020-08-06,5,1,6
2020-08-13,1,2,3
2020-08-20,4,0,4
2020-08-27,1,3,4
2020-09-03,1,1,2
2020-09-10,1,2,3
2020-09-17,2,1,3
2020-09-24,1,2,3
2020-10-01,1,1,2
2020-10-08,2,2,4
2020-10-15,2,0,2
2020-10-22,0,4,4
2020-10-29,3,3,6
2020-11-05,1,4,5
2020-11-12,8,10,18
2020-11-19,4,1,5
2020-11-25,2,5,7
2020-12-03,1,1,2
2020-12-10,3,1,4
2020-12-17,2,1,3
2020-12-23,4,3,7
2020-12-30,0,1,1
2021-01-07,1,2,3
2021-01-14,1,3,4
2021-01-21,2,8,10
2021-01-28,0,4,4
2021-02-04,10,4,14
2021-02-11,5,7,12
2021-02-18,3,5,8
2021-02-25,2,3,5
2021-03-04,5,2,7
2021-03-11,3,2,5
2021-03-18,0,5,5
2021-03-25,3,1,4
2021-03-31,2,1,3
2021-04-08,3,0,3
2021-04-15,2,2,4
2021-04-22,4,1,5
2021-04-29,4,0,4
2021-05-06,3,2,5
2021-05-13,3,1,4
2021-05-20,3,1,4
2021-05-27,0,3,3
2021-06-03,4,7,11
