,setups,weeks,per_week,goes_again,stalls,reverses,base_goes,base_reverses,edge,edge_lo,edge_hi,edge_range_only,oc_mean_bps,oc_lo_bps,oc_hi_bps,oc_median_bps,oc_positive
ignition_sigma=2.0  volume_mult=2.0  min_hold=0.33,2875.0,128.0,22.4609375,0.16208695652173913,0.6779130434782609,0.16,0.1637927369464573,0.1573730330971366,-0.004332747327581569,-0.02001375401364894,0.011413183182548949,0.002439359226678327,-7.2594597157704355,-17.78203456925787,3.2211889915606635,-2.9991572896690375,0.4893913043478261
ignition_sigma=2.0  volume_mult=2.0  min_hold=0.5,2720.0,128.0,21.25,0.16801470588235295,0.6775735294117647,0.15441176470588236,0.17014733549318023,0.15180101254151335,-0.004743381775196267,-0.02063867829541141,0.011769060679110493,0.011286871794178635,-9.61733440588058,-19.91616371537603,1.0445925636681015,-4.3511497748560535,0.4863970588235294
ignition_sigma=2.0  volume_mult=2.0  min_hold=0.67,2461.0,128.0,19.2265625,0.17878911011783827,0.6798049573344169,0.1414059325477448,0.1820006846706335,0.13794204931527107,-0.0066754577852689585,-0.023318768592689713,0.009957709611505943,0.028371658797399855,-10.39260242409587,-21.088695084858326,0.2844462207275336,-6.697391893241422,0.4831369362047948
ignition_sigma=2.0  volume_mult=3.0  min_hold=0.33,1189.0,128.0,9.2890625,0.16736753574432295,0.6694701429772918,0.1631623212783852,0.1683319877495682,0.15252934020752293,-0.01159743307610751,-0.03520557759430907,0.01148154203945048,-0.0026081251840114152,-18.60691766705269,-35.55497757232245,-2.419530229725783,-8.262968083184333,0.4827586206896552
ignition_sigma=2.0  volume_mult=3.0  min_hold=0.5,1141.0,128.0,8.9140625,0.1691498685363716,0.6722173531989483,0.1586327782646801,0.1721205963228848,0.15052105532063292,-0.011082450730560384,-0.0346452610991043,0.012425996934020751,0.004010851834946367,-22.085724575585946,-39.112254064955344,-5.768222324673023,-8.888074659743612,0.4785276073619632
ignition_sigma=2.0  volume_mult=3.0  min_hold=0.67,1049.0,127.0,8.1953125,0.1782650142993327,0.6739752144899904,0.14775977121067682,0.18255531661136054,0.13783145446136189,-0.014218619061342882,-0.03796119378599104,0.009156022272795017,0.016482539868097234,-20.788375073385787,-37.78856004847771,-4.464802017245538,-8.888074659743612,0.47855100095328884
ignition_sigma=2.0  volume_mult=4.0  min_hold=0.33,614.0,123.0,4.796875,0.16449511400651465,0.6824104234527687,0.15309446254071662,0.1698558688809342,0.14902030370152478,-0.009434913713611383,-0.040556574965478154,0.021001583993406996,-0.0024359885957912527,-17.108354010892214,-39.75507815094893,4.727461702002115,-0.2605059141095818,0.498371335504886
ignition_sigma=2.0  volume_mult=4.0  min_hold=0.5,591.0,122.0,4.6171875,0.1658206429780034,0.6852791878172588,0.14890016920473773,0.17304594558774286,0.14674266784387013,-0.009382803970607086,-0.0406920446137882,0.021648480203445394,0.0032008721232876275,-19.26615404890883,-43.044135887534395,2.9734957105384017,-0.8150173720101626,0.494077834179357
ignition_sigma=2.0  volume_mult=4.0  min_hold=0.67,546.0,120.0,4.265625,0.17765567765567766,0.684981684981685,0.13736263736263737,0.1829009834530493,0.1352307026144006,-0.0073772405456084345,-0.04188233980135934,0.025132792430711298,0.019559000883922078,-11.939877222988155,-35.32699677402175,10.554195808579875,1.2074266823079607,0.5018315018315018
ignition_sigma=2.5  volume_mult=2.0  min_hold=0.33,1958.0,128.0,15.296875,0.15985699693564862,0.6813074565883555,0.1588355464759959,0.16327566214747158,0.15920784795337278,-0.003046363734446109,-0.020620848094620673,0.01501243910564068,0.0008078686379689957,-11.425700311801592,-23.861769385316293,0.8284477712002214,-3.5922131099063033,0.4902962206332993
